state,registrations_0_to_5,registrations_5_to_17,registrations_18_and_above,total_enrolments,age_0_5_percentage,age_5_17_percentage,age_18_plus_percentage,gap_0_5,gap_5_17,at_risk_0_5,at_risk_5_17
andaman and nicobar islands,459,32,0,491,93.48268839103869,6.517311608961303,0.0,-28.322018889450845,25.199566426277002,False,True
andhra pradesh,109393,13414,1465,124272,88.02706965366293,10.794064632419209,1.1788657139178575,-22.866400152075087,20.922813402819095,False,True
chandigarh,2377,210,33,2620,90.72519083969466,8.015267175572518,1.2595419847328244,-25.564521338106815,23.701610859665788,False,True
chhattisgarh,79653,18158,1962,99773,79.83422368777124,18.199312439237065,1.966463872991691,-14.673554186183395,13.51756559600124,False,True
dadra and nagar haveli and daman and diu,1471,248,50,1769,83.15432447710572,14.019219898247599,2.826455624646693,-17.99365497551787,17.697658136990707,False,True
goa,1871,253,156,2280,82.06140350877193,11.096491228070175,6.842105263157896,-16.900734007184084,20.62038680716813,False,True
haryana,85112,8897,1076,95085,89.51148971972445,9.356891202608193,1.1316190776673503,-24.350820218136604,22.359986832630113,False,True
himachal pradesh,16081,650,178,16909,95.1031994795671,3.8441066887456383,1.0526938316872672,-29.942529977979248,27.87277134649267,False,True
jammu and kashmir,39305,7802,522,47629,82.5232526401982,16.380776417728697,1.0959709420731067,-17.362583138610347,15.336101617509609,False,True
karnataka,176140,33398,10038,219576,80.21823878748134,15.210223339527088,4.571537872991584,-15.057569285893493,16.50665469571122,False,True
ladakh,466,133,18,617,75.52674230145867,21.555915721231766,2.9173419773095626,-10.366072799870821,10.16096231400654,False,True
lakshadweep,188,10,1,199,94.47236180904522,5.025125628140704,0.5025125628140703,-29.311692307457378,26.691752407097603,False,True
mizoram,4044,1259,471,5774,70.03810183581572,21.804641496363004,8.157256667821269,-4.877432334227876,9.912236538875302,False,True
odisha,97055,22203,726,119984,80.88995199359915,18.504967328977198,0.6050806774236566,-15.729282492011308,13.211910706261108,False,True
puducherry,2713,193,44,2950,91.96610169491525,6.542372881355932,1.4915254237288136,-26.805432193327405,25.174505153882375,False,True
punjab,60481,12175,3117,75773,79.81866891900809,16.067728610454914,4.113602470536999,-14.657999417420243,15.649149424783392,False,True
tamil nadu,178294,36214,1202,215710,82.65448982430115,16.788280561865466,0.5572296138333874,-17.493820322713304,14.92859747337284,False,True
telangana,103768,24035,1145,128948,80.4727487049043,18.639296460588763,0.887954834506933,-15.312079203316458,13.077581574649543,False,True
unknown,0,1,213,214,0.0,0.46728971962616817,99.53271028037383,65.16066950158785,31.249588315612137,True,True
uttarakhand,31208,5410,338,36956,84.4463686546163,14.639030198073385,0.9146011473103149,-19.285699153028446,17.07784783716492,False,True
