Original_Name,Corrected_To
orissa,odisha
pondicherry,puducherry
uttaranchal,uttarakhand
west bangal,west bengal
westbengal,west bengal
west  bengal,west bengal
andaman & nicobar islands,andaman and nicobar islands
dadra & nagar haveli,dadra and nagar haveli and daman and diu
dadra and nagar haveli,dadra and nagar haveli and daman and diu
daman and diu,dadra and nagar haveli and daman and diu
daman & diu,dadra and nagar haveli and daman and diu
jammu & kashmir,jammu and kashmir
the dadra and nagar haveli and daman and diu,dadra and nagar haveli and daman and diu
nct of delhi,delhi
new delhi,delhi
pondichery,puducherry
puduchery,puducherry
